"Name","Title","version"
"assertive.reflection","Assertions for Checking the State of R [@R-assertive.reflection]","0.0.5"
"benchmarkme","Crowd Sourced System Benchmarks [@R-benchmarkme]","1.0.7"
"bookdown","Authoring Books and Technical Documents with R Markdown [@R-bookdown]","0.22"
"cranlogs","Download Logs from the 'RStudio' 'CRAN' Mirror [@R-cranlogs]","2.1.1"
"data.table","Extension of `data.frame` [@R-data.table]","1.14.0"
"dbplyr","A 'dplyr' Back End for Databases [@R-dbplyr]","2.1.1"
"devtools","Tools to Make Developing R Packages Easier [@R-devtools]","2.4.2"
"DiagrammeR","Graph/Network Visualization [@R-DiagrammeR]","1.0.6.1"
"dplyr","A Grammar of Data Manipulation [@R-dplyr]","1.0.7"
"drat","'Drat' R Archive Template [@R-drat]","0.2.1"
"efficient","Becoming an Efficient R Programmer [@R-efficient]","0.1.4"
"feather","R Bindings to the Feather 'API' [@R-feather]","0.3.5"
"formatR","Format R Code Automatically [@R-formatR]","1.11"
"fortunes","R Fortunes [@R-fortunes]","1.5.4"
"geosphere","Spherical Trigonometry [@R-geosphere]","1.5.10"
"ggmap","Spatial Visualization with ggplot2 [@R-ggmap]","3.0.0"
"ggplot2","Create Elegant Data Visualisations Using the Grammar of Graphics [@R-ggplot2]","3.3.5"
"ggplot2movies","Movies Data [@R-ggplot2movies]","0.0.1"
"knitr","A General-Purpose Package for Dynamic Report Generation in R [@R-knitr]","1.33"
"lubridate","Make Dealing with Dates a Little Easier [@R-lubridate]","1.7.10"
"maps","Draw Geographical Maps [@R-maps]","3.3.0"
"microbenchmark","Accurate Timing Functions [@R-microbenchmark]","1.4.7"
"profvis","Interactive Visualizations for Profiling R Code [@R-profvis]","0.3.7"
"pryr","Tools for Computing on the Language [@R-pryr]","0.1.5"
"Rcpp","Seamless R and C++ Integration [@R-Rcpp]","1.0.7"
"readr","Read Rectangular Text Data [@R-readr]","2.0.0"
"reticulate","Interface to 'Python' [@R-reticulate]","1.20"
"rio","A Swiss-Army Knife for Data I/O [@R-rio]","0.5.27"
"RSQLite","'SQLite' Interface for R [@R-RSQLite]","2.2.7"
"swirl","Learn R, in R [@R-swirl]","2.4.5"
"tibble","Simple Data Frames [@R-tibble]","3.1.3"
"tidyr","Tidy Messy Data [@R-tidyr]","1.1.3"
